EMD-53774	Map of M. pneumoniae 70S EF-Tu A/T,P,E in fidaxomicin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53775	Map of M. pneumoniae 70S P,E in fidaxomicin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53776	Map of M. pneumoniae 70S membrane complex in fidaxomicin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53777	Map of M. pneumoniae 70S P/E in fidaxomicin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53778	Map of M. pneumoniae 70S trigger factor in fidaxomicin-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53780	Consensus map of M. pneumoniae 30S small ribosomal subunit in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53781	Consensus map of M. pneumoniae 50S large ribosomal subunit in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53786	Consensus map of M. pneumoniae 70S ribosome in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53812	Map of M. pneumoniae 30S P-tRNA in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53813	Map of M. pneumoniae 30S iT-TC (flexible) in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53814	Map of M. pneumoniae 50S empty/factorless in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53815	Map of M. pneumoniae 50S S4LSU in chloramphenicol-treated cells	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-53846	Map of H. sapiens 60S large ribosomal subunit with Sec61-TRAP-OSTA translocon	Dobbs JM, Jensen RK, Mahamid J	REL	2026-09-23
EMD-55029	Ribosome-dome complex including the Sec-translocon (SecYEG-SecA-SecDF) from antibiotics treated Mycoplasma pneumoniae cells (Combined)	Xue L, Jensen RK, Mahamid J	REL	2026-09-23
EMD-55667	E.coli ribosome reconstruction from frames 41-60, dose weighted	Wazny G, Glatt S, Indyka P, Jaciuk M, Rawski M, Biela AP	REL	2026-09-23
EMD-55672	E.coli ribosome reconstruction from frames 1-40, not dose weighted	Wazny G, Glatt S, Indyka P, Jaciuk M, Rawski M, Biela AP	REL	2026-09-23
EMD-56097	gp13 protein from vB_PagS_MED16 bacteriophage	Sasnauskas G, Tamulaitiene G, Miksys A, Poviloniene S, Casaite V, Meskys R	REL	2026-09-23
EMD-56098	gp39 protein from Escherichia phage vB_EcoS_NBD2	Sasnauskas G, Tamulaitiene G, Poviloniene S, Casaite V, Meskys R, Meskys R	REL	2026-09-23
EMD-56397	Cryo-EM structure of native ITIH4	Joergensen MH, Andersen GR	REL	2026-09-23
EMD-56398	Cryo-EM structure of native ITIH4 with 12A12 F(ab)	Joergensen MH, Andersen GR	REL	2026-09-23
EMD-56399	Cryo-EM structure of active ITIH4N with 12A12 F(ab)	Joergensen MH, Andersen GR	REL	2026-09-23
EMD-56400	Consensus structure of ITIH4N:MASP-1cf:12A12 F(ab) 2:1:2 complex	Joergensen MH, Andersen GR	REL	2026-09-23
EMD-56401	ITIH4N:MASP-1cf:12A12 F(ab) 2:1:2 complex (ITIH4N #1 Focus)	Joergensen MH, Andersen GR	REL	2026-09-23
EMD-56402	ITIH4N:MASP-1cf:12A12 F(ab) 2:1:2 complex (ITIH4N #2 Focus)	Joergensen MH, Andersen GR	REL	2026-09-23
EMD-56403	Cryo-EM structure of ITIH4N:PKK:12A12 F(ab) 2:1:2 complex	Joergensen MH, Andersen GR	REL	2026-09-23
EMD-56404	ITIH4N:MASP-1cf:12A12 F(ab) 2:1:2 complex (Composite)	Joergensen MH, Andersen GR	REL	2026-09-23
EMD-56604	CryoEM structure of carbon monoxide dehydrogenase from Ruminococcus flavefaciens	Srinivas V, Hogbom M	REL	2026-09-23
EMD-56614	Cryo-EM structure of UBA6 in complex with FAT10 in the pre-adenylation state.	Ellison CJ, Dalietou EV, Riechmann C, Elliott PR	REL	2026-09-23
EMD-56615	Cryo-EM structure of UBA6 in complex with FAT10 in the post-thiolation state.	Ellison CJ, Dalietou EV, Riechmann C, Elliott PR	REL	2026-09-23
EMD-56644	Cryo-EM structure of UBA6-UbDha-UBE2Z trapped ternary complex (singly loaded)	Ellison CJ, Riechmann C, Elliott PR, Elliott PR	REL	2026-09-23
EMD-56645	Cryo-EM structure of UBA6-UbDha-UBE2Z trapped ternary complex (doubly loaded)	Ellison CJ, Riechmann C, Elliott PR, Elliott PR	REL	2026-09-23
EMD-56646	Cryo-EM structure of UBA6-FAT10Dha-UBE2Z trapped ternary complex	Ellison CJ, Riechmann C, Elliott PR, Elliott PR	REL	2026-09-23
EMD-59079	In-cell structure of the human SSU processome state postA1	Zaho X, Mahamid J, Mueller CW	REL	2026-09-23
EMD-59087	In-cell structure of the human Pre-60S consensus map	Zhao X, Mahamid J, Mueller CW	REL	2026-09-23
EMD-59088	In-cell structure of the human pre-60S state H	Zhao X, Mahamid J, Mueller CW	REL	2026-09-23
EMD-66088	Cryo-EM structure of Clostridium perfringens pili CppA in complex with CppB	Nonaka Y, Tamai E, Kamitori S	REL	2026-09-23
